state,Question,Data_Value
Tennessee,Percent of adults aged 18 years and older who have obesity,39.3
Georgia,Percent of adults aged 18 years and older who have obesity,34.7
Minnesota,Percent of adults aged 18 years and older who have obesity,30.0
Georgia,Percent of adults aged 18 years and older who have obesity,33.3
Delaware,Percent of adults aged 18 years and older who have obesity,33.8
North Dakota,Percent of adults aged 18 years and older who have obesity,33.8
Virginia,Percent of adults aged 18 years and older who have obesity,38.6
Indiana,Percent of adults aged 18 years and older who have obesity,57.0
New Hampshire,Percent of adults aged 18 years and older who have obesity,28.9
Nebraska,Percent of adults aged 18 years and older who have obesity,35.7
Guam,Percent of adults aged 18 years and older who have obesity,32.3
Alabama,Percent of adults aged 18 years and older who have obesity,38.1
Texas,Percent of adults aged 18 years and older who have obesity,20.8
Virginia,Percent of adults aged 18 years and older who have obesity,29.3
New Jersey,Percent of adults aged 18 years and older who have obesity,25.7
California,Percent of adults aged 18 years and older who have obesity,25.6
New Hampshire,Percent of adults aged 18 years and older who have obesity,28.3
Colorado,Percent of adults aged 18 years and older who have obesity,31.1
Mississippi,Percent of adults aged 18 years and older who have obesity,42.6
Maryland,Percent of adults aged 18 years and older who have obesity,37.0
Illinois,Percent of adults aged 18 years and older who have obesity,16.8
South Carolina,Percent of adults aged 18 years and older who have obesity,35.1
Alabama,Percent of adults aged 18 years and older who have obesity,25.4
New Mexico,Percent of adults aged 18 years and older who have obesity,35.5
Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.8
California,Percent of adults aged 18 years and older who have obesity,27.0
Texas,Percent of adults aged 18 years and older who have obesity,38.6
Wyoming,Percent of adults aged 18 years and older who have obesity,27.4
Missouri,Percent of adults aged 18 years and older who have obesity,20.6
Connecticut,Percent of adults aged 18 years and older who have obesity,27.4
Nevada,Percent of adults aged 18 years and older who have obesity,28.1
Washington,Percent of adults aged 18 years and older who have obesity,31.8
Vermont,Percent of adults aged 18 years and older who have obesity,27.4
Louisiana,Percent of adults aged 18 years and older who have obesity,33.3
Nevada,Percent of adults aged 18 years and older who have obesity,29.5
West Virginia,Percent of adults aged 18 years and older who have obesity,46.2
Colorado,Percent of adults aged 18 years and older who have obesity,12.0
Wisconsin,Percent of adults aged 18 years and older who have obesity,33.5
Idaho,Percent of adults aged 18 years and older who have obesity,27.9
Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.2
Utah,Percent of adults aged 18 years and older who have obesity,30.0
Maine,Percent of adults aged 18 years and older who have obesity,42.3
Vermont,Percent of adults aged 18 years and older who have obesity,25.3
Washington,Percent of adults aged 18 years and older who have obesity,30.2
Tennessee,Percent of adults aged 18 years and older who have obesity,35.3
Oklahoma,Percent of adults aged 18 years and older who have obesity,38.4
Delaware,Percent of adults aged 18 years and older who have obesity,32.5
South Carolina,Percent of adults aged 18 years and older who have obesity,29.3
Montana,Percent of adults aged 18 years and older who have obesity,24.1
Massachusetts,Percent of adults aged 18 years and older who have obesity,26.2
Alabama,Percent of adults aged 18 years and older who have obesity,39.8
Connecticut,Percent of adults aged 18 years and older who have obesity,12.4
District of Columbia,Percent of adults aged 18 years and older who have obesity,36.1
Missouri,Percent of adults aged 18 years and older who have obesity,31.3
Hawaii,Percent of adults aged 18 years and older who have obesity,24.9
North Carolina,Percent of adults aged 18 years and older who have obesity,58.6
North Carolina,Percent of adults aged 18 years and older who have obesity,31.6
Kansas,Percent of adults aged 18 years and older who have obesity,31.9
Arkansas,Percent of adults aged 18 years and older who have obesity,39.7
South Dakota,Percent of adults aged 18 years and older who have obesity,33.4
Illinois,Percent of adults aged 18 years and older who have obesity,30.6
Maryland,Percent of adults aged 18 years and older who have obesity,35.4
Pennsylvania,Percent of adults aged 18 years and older who have obesity,30.8
Montana,Percent of adults aged 18 years and older who have obesity,30.0
Missouri,Percent of adults aged 18 years and older who have obesity,50.9
Virginia,Percent of adults aged 18 years and older who have obesity,33.1
Kansas,Percent of adults aged 18 years and older who have obesity,32.9
Montana,Percent of adults aged 18 years and older who have obesity,23.7
Pennsylvania,Percent of adults aged 18 years and older who have obesity,30.8
Tennessee,Percent of adults aged 18 years and older who have obesity,34.6
Nebraska,Percent of adults aged 18 years and older who have obesity,38.8
Maine,Percent of adults aged 18 years and older who have obesity,23.5
Hawaii,Percent of adults aged 18 years and older who have obesity,26.5
Kentucky,Percent of adults aged 18 years and older who have obesity,36.4
Florida,Percent of adults aged 18 years and older who have obesity,27.8
District of Columbia,Percent of adults aged 18 years and older who have obesity,27.1
Arizona,Percent of adults aged 18 years and older who have obesity,29.4
Oregon,Percent of adults aged 18 years and older who have obesity,33.7
National,Percent of adults aged 18 years and older who have obesity,33.7
Texas,Percent of adults aged 18 years and older who have obesity,34.8
Nebraska,Percent of adults aged 18 years and older who have obesity,33.9
Mississippi,Percent of adults aged 18 years and older who have obesity,39.9
Rhode Island,Percent of adults aged 18 years and older who have obesity,16.6
Michigan,Percent of adults aged 18 years and older who have obesity,33.3
Massachusetts,Percent of adults aged 18 years and older who have obesity,40.0
Indiana,Percent of adults aged 18 years and older who have obesity,30.2
Alabama,Percent of adults aged 18 years and older who have obesity,39.2
Ohio,Percent of adults aged 18 years and older who have obesity,31.0
Maryland,Percent of adults aged 18 years and older who have obesity,27.4
New York,Percent of adults aged 18 years and older who have obesity,27.3
Hawaii,Percent of adults aged 18 years and older who have obesity,28.7
Alabama,Percent of adults aged 18 years and older who have obesity,34.2
Pennsylvania,Percent of adults aged 18 years and older who have obesity,26.9
Indiana,Percent of adults aged 18 years and older who have obesity,37.6
Wisconsin,Percent of adults aged 18 years and older who have obesity,34.8
Tennessee,Percent of adults aged 18 years and older who have obesity,29.2
Florida,Percent of adults aged 18 years and older who have obesity,33.9
Guam,Percent of adults aged 18 years and older who have obesity,23.9
Puerto Rico,Percent of adults aged 18 years and older who have obesity,32.7
Oregon,Percent of adults aged 18 years and older who have obesity,35.5
Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.4
California,Percent of adults aged 18 years and older who have obesity,24.2
Georgia,Percent of adults aged 18 years and older who have obesity,35.6
Wisconsin,Percent of adults aged 18 years and older who have obesity,35.4
South Carolina,Percent of adults aged 18 years and older who have obesity,28.7
National,Percent of adults aged 18 years and older who have obesity,30.9
Oklahoma,Percent of adults aged 18 years and older who have obesity,34.6
Alabama,Percent of adults aged 18 years and older who have obesity,43.7
New Mexico,Percent of adults aged 18 years and older who have obesity,33.5
Texas,Percent of adults aged 18 years and older who have obesity,36.2
South Dakota,Percent of adults aged 18 years and older who have obesity,34.5
New Mexico,Percent of adults aged 18 years and older who have obesity,25.5
Maine,Percent of adults aged 18 years and older who have obesity,30.4
Colorado,Percent of adults aged 18 years and older who have obesity,22.9
Alaska,Percent of adults aged 18 years and older who have obesity,29.1
Iowa,Percent of adults aged 18 years and older who have obesity,39.3
Florida,Percent of adults aged 18 years and older who have obesity,25.7
Puerto Rico,Percent of adults aged 18 years and older who have obesity,35.9
Pennsylvania,Percent of adults aged 18 years and older who have obesity,29.9
Tennessee,Percent of adults aged 18 years and older who have obesity,28.7
Oregon,Percent of adults aged 18 years and older who have obesity,29.5
West Virginia,Percent of adults aged 18 years and older who have obesity,42.5
Massachusetts,Percent of adults aged 18 years and older who have obesity,25.3
Washington,Percent of adults aged 18 years and older who have obesity,22.4
Connecticut,Percent of adults aged 18 years and older who have obesity,31.1
South Dakota,Percent of adults aged 18 years and older who have obesity,28.5
Arizona,Percent of adults aged 18 years and older who have obesity,36.7
Connecticut,Percent of adults aged 18 years and older who have obesity,24.9
Georgia,Percent of adults aged 18 years and older who have obesity,32.1
Illinois,Percent of adults aged 18 years and older who have obesity,10.2
Idaho,Percent of adults aged 18 years and older who have obesity,33.3
New Mexico,Percent of adults aged 18 years and older who have obesity,32.5
Texas,Percent of adults aged 18 years and older who have obesity,35.6
Kentucky,Percent of adults aged 18 years and older who have obesity,41.7
Alaska,Percent of adults aged 18 years and older who have obesity,29.3
Maine,Percent of adults aged 18 years and older who have obesity,34.6
Pennsylvania,Percent of adults aged 18 years and older who have obesity,27.6
Illinois,Percent of adults aged 18 years and older who have obesity,33.2
Mississippi,Percent of adults aged 18 years and older who have obesity,40.8
Kentucky,Percent of adults aged 18 years and older who have obesity,36.8
Kentucky,Percent of adults aged 18 years and older who have obesity,29.0
Vermont,Percent of adults aged 18 years and older who have obesity,19.4
South Carolina,Percent of adults aged 18 years and older who have obesity,34.3
Iowa,Percent of adults aged 18 years and older who have obesity,35.3
Rhode Island,Percent of adults aged 18 years and older who have obesity,27.5
Arizona,Percent of adults aged 18 years and older who have obesity,38.7
West Virginia,Percent of adults aged 18 years and older who have obesity,34.1
Idaho,Percent of adults aged 18 years and older who have obesity,23.9
Nevada,Percent of adults aged 18 years and older who have obesity,27.9
Arkansas,Percent of adults aged 18 years and older who have obesity,36.4
Kansas,Percent of adults aged 18 years and older who have obesity,31.0
New Jersey,Percent of adults aged 18 years and older who have obesity,31.8
South Carolina,Percent of adults aged 18 years and older who have obesity,32.3
Maine,Percent of adults aged 18 years and older who have obesity,27.7
Oklahoma,Percent of adults aged 18 years and older who have obesity,37.0
Michigan,Percent of adults aged 18 years and older who have obesity,31.5
Oklahoma,Percent of adults aged 18 years and older who have obesity,35.5
District of Columbia,Percent of adults aged 18 years and older who have obesity,23.6
North Carolina,Percent of adults aged 18 years and older who have obesity,40.3
Rhode Island,Percent of adults aged 18 years and older who have obesity,39.2
Wyoming,Percent of adults aged 18 years and older who have obesity,37.4
California,Percent of adults aged 18 years and older who have obesity,25.8
New Jersey,Percent of adults aged 18 years and older who have obesity,28.9
Utah,Percent of adults aged 18 years and older who have obesity,26.6
Ohio,Percent of adults aged 18 years and older who have obesity,32.7
Maryland,Percent of adults aged 18 years and older who have obesity,38.7
National,Percent of adults aged 18 years and older who have obesity,33.2
Missouri,Percent of adults aged 18 years and older who have obesity,32.0
Louisiana,Percent of adults aged 18 years and older who have obesity,36.0
Illinois,Percent of adults aged 18 years and older who have obesity,35.7
Minnesota,Percent of adults aged 18 years and older who have obesity,32.8
Oregon,Percent of adults aged 18 years and older who have obesity,26.9
Nevada,Percent of adults aged 18 years and older who have obesity,25.6
Missouri,Percent of adults aged 18 years and older who have obesity,41.7
Michigan,Percent of adults aged 18 years and older who have obesity,37.7
Montana,Percent of adults aged 18 years and older who have obesity,21.8
Oklahoma,Percent of adults aged 18 years and older who have obesity,33.7
Wyoming,Percent of adults aged 18 years and older who have obesity,30.9
Georgia,Percent of adults aged 18 years and older who have obesity,34.9
Tennessee,Percent of adults aged 18 years and older who have obesity,30.7
District of Columbia,Percent of adults aged 18 years and older who have obesity,34.9
Florida,Percent of adults aged 18 years and older who have obesity,33.7
Oregon,Percent of adults aged 18 years and older who have obesity,9.8
California,Percent of adults aged 18 years and older who have obesity,25.4
North Dakota,Percent of adults aged 18 years and older who have obesity,34.9
Puerto Rico,Percent of adults aged 18 years and older who have obesity,32.9
New York,Percent of adults aged 18 years and older who have obesity,12.4
Minnesota,Percent of adults aged 18 years and older who have obesity,20.1
Maine,Percent of adults aged 18 years and older who have obesity,35.4
Vermont,Percent of adults aged 18 years and older who have obesity,21.1
Kansas,Percent of adults aged 18 years and older who have obesity,43.5
California,Percent of adults aged 18 years and older who have obesity,10.9
Indiana,Percent of adults aged 18 years and older who have obesity,29.7
North Carolina,Percent of adults aged 18 years and older who have obesity,39.2
Iowa,Percent of adults aged 18 years and older who have obesity,20.9
Guam,Percent of adults aged 18 years and older who have obesity,31.5
Nebraska,Percent of adults aged 18 years and older who have obesity,37.4
District of Columbia,Percent of adults aged 18 years and older who have obesity,30.3
Alaska,Percent of adults aged 18 years and older who have obesity,31.8
Florida,Percent of adults aged 18 years and older who have obesity,37.9
Colorado,Percent of adults aged 18 years and older who have obesity,22.3
Maryland,Percent of adults aged 18 years and older who have obesity,29.5
Puerto Rico,Percent of adults aged 18 years and older who have obesity,23.2
Missouri,Percent of adults aged 18 years and older who have obesity,34.4
North Carolina,Percent of adults aged 18 years and older who have obesity,33.0
New York,Percent of adults aged 18 years and older who have obesity,32.4
Arizona,Percent of adults aged 18 years and older who have obesity,8.1
Massachusetts,Percent of adults aged 18 years and older who have obesity,6.5
South Carolina,Percent of adults aged 18 years and older who have obesity,39.0
District of Columbia,Percent of adults aged 18 years and older who have obesity,35.8
Utah,Percent of adults aged 18 years and older who have obesity,28.7
Vermont,Percent of adults aged 18 years and older who have obesity,27.2
Rhode Island,Percent of adults aged 18 years and older who have obesity,24.3
Indiana,Percent of adults aged 18 years and older who have obesity,35.4
Pennsylvania,Percent of adults aged 18 years and older who have obesity,7.6
Nevada,Percent of adults aged 18 years and older who have obesity,23.5
South Dakota,Percent of adults aged 18 years and older who have obesity,30.5
Nebraska,Percent of adults aged 18 years and older who have obesity,41.9
Kentucky,Percent of adults aged 18 years and older who have obesity,34.1
Idaho,Percent of adults aged 18 years and older who have obesity,27.1
Connecticut,Percent of adults aged 18 years and older who have obesity,28.4
Utah,Percent of adults aged 18 years and older who have obesity,16.9
Louisiana,Percent of adults aged 18 years and older who have obesity,33.9
Alaska,Percent of adults aged 18 years and older who have obesity,31.2
New Hampshire,Percent of adults aged 18 years and older who have obesity,39.0
Washington,Percent of adults aged 18 years and older who have obesity,30.6
Iowa,Percent of adults aged 18 years and older who have obesity,35.0
Massachusetts,Percent of adults aged 18 years and older who have obesity,20.9
Missouri,Percent of adults aged 18 years and older who have obesity,36.7
West Virginia,Percent of adults aged 18 years and older who have obesity,40.7
Florida,Percent of adults aged 18 years and older who have obesity,31.9
New York,Percent of adults aged 18 years and older who have obesity,32.1
Ohio,Percent of adults aged 18 years and older who have obesity,16.7
Wisconsin,Percent of adults aged 18 years and older who have obesity,28.7
Maryland,Percent of adults aged 18 years and older who have obesity,28.6
Oklahoma,Percent of adults aged 18 years and older who have obesity,32.5
Virginia,Percent of adults aged 18 years and older who have obesity,37.1
Mississippi,Percent of adults aged 18 years and older who have obesity,45.4
Utah,Percent of adults aged 18 years and older who have obesity,29.7
Kansas,Percent of adults aged 18 years and older who have obesity,33.3
North Dakota,Percent of adults aged 18 years and older who have obesity,33.4
Hawaii,Percent of adults aged 18 years and older who have obesity,23.1
New York,Percent of adults aged 18 years and older who have obesity,34.9
Georgia,Percent of adults aged 18 years and older who have obesity,33.9
Maryland,Percent of adults aged 18 years and older who have obesity,35.2
Oregon,Percent of adults aged 18 years and older who have obesity,34.8
North Dakota,Percent of adults aged 18 years and older who have obesity,36.2
Michigan,Percent of adults aged 18 years and older who have obesity,18.9
North Carolina,Percent of adults aged 18 years and older who have obesity,27.5
Oregon,Percent of adults aged 18 years and older who have obesity,35.8
Wyoming,Percent of adults aged 18 years and older who have obesity,28.2
Washington,Percent of adults aged 18 years and older who have obesity,32.6
Missouri,Percent of adults aged 18 years and older who have obesity,29.3
Iowa,Percent of adults aged 18 years and older who have obesity,34.6
Washington,Percent of adults aged 18 years and older who have obesity,32.7
California,Percent of adults aged 18 years and older who have obesity,22.8
Virginia,Percent of adults aged 18 years and older who have obesity,37.6
North Carolina,Percent of adults aged 18 years and older who have obesity,33.9
New Hampshire,Percent of adults aged 18 years and older who have obesity,30.0
Nevada,Percent of adults aged 18 years and older who have obesity,33.9
Tennessee,Percent of adults aged 18 years and older who have obesity,35.9
Minnesota,Percent of adults aged 18 years and older who have obesity,26.9
Louisiana,Percent of adults aged 18 years and older who have obesity,40.2
New Hampshire,Percent of adults aged 18 years and older who have obesity,30.5
Nevada,Percent of adults aged 18 years and older who have obesity,33.5
New York,Percent of adults aged 18 years and older who have obesity,24.7
Colorado,Percent of adults aged 18 years and older who have obesity,24.4
West Virginia,Percent of adults aged 18 years and older who have obesity,39.5
Florida,Percent of adults aged 18 years and older who have obesity,37.7
Nebraska,Percent of adults aged 18 years and older who have obesity,36.1
Illinois,Percent of adults aged 18 years and older who have obesity,37.6
Puerto Rico,Percent of adults aged 18 years and older who have obesity,30.7
Iowa,Percent of adults aged 18 years and older who have obesity,34.0
Missouri,Percent of adults aged 18 years and older who have obesity,37.8
District of Columbia,Percent of adults aged 18 years and older who have obesity,27.1
Alaska,Percent of adults aged 18 years and older who have obesity,29.9
Guam,Percent of adults aged 18 years and older who have obesity,32.3
Virginia,Percent of adults aged 18 years and older who have obesity,35.2
Indiana,Percent of adults aged 18 years and older who have obesity,37.4
Massachusetts,Percent of adults aged 18 years and older who have obesity,23.5
Virginia,Percent of adults aged 18 years and older who have obesity,40.2
Arkansas,Percent of adults aged 18 years and older who have obesity,33.5
Wyoming,Percent of adults aged 18 years and older who have obesity,30.2
Georgia,Percent of adults aged 18 years and older who have obesity,32.5
Illinois,Percent of adults aged 18 years and older who have obesity,39.6
Arizona,Percent of adults aged 18 years and older who have obesity,23.5
Delaware,Percent of adults aged 18 years and older who have obesity,33.5
New York,Percent of adults aged 18 years and older who have obesity,30.7
Montana,Percent of adults aged 18 years and older who have obesity,27.8
Alaska,Percent of adults aged 18 years and older who have obesity,25.2
Pennsylvania,Percent of adults aged 18 years and older who have obesity,35.5
New Mexico,Percent of adults aged 18 years and older who have obesity,32.2
North Dakota,Percent of adults aged 18 years and older who have obesity,21.1
Rhode Island,Percent of adults aged 18 years and older who have obesity,37.4
District of Columbia,Percent of adults aged 18 years and older who have obesity,19.0
Utah,Percent of adults aged 18 years and older who have obesity,32.8
New Hampshire,Percent of adults aged 18 years and older who have obesity,34.0
Ohio,Percent of adults aged 18 years and older who have obesity,34.3
Virginia,Percent of adults aged 18 years and older who have obesity,32.8
Texas,Percent of adults aged 18 years and older who have obesity,33.3
Texas,Percent of adults aged 18 years and older who have obesity,39.6
Connecticut,Percent of adults aged 18 years and older who have obesity,31.2
Kansas,Percent of adults aged 18 years and older who have obesity,38.0
South Carolina,Percent of adults aged 18 years and older who have obesity,27.3
Arizona,Percent of adults aged 18 years and older who have obesity,26.6
Missouri,Percent of adults aged 18 years and older who have obesity,52.5
Nevada,Percent of adults aged 18 years and older who have obesity,34.6
Wyoming,Percent of adults aged 18 years and older who have obesity,28.4
North Carolina,Percent of adults aged 18 years and older who have obesity,27.6
Oklahoma,Percent of adults aged 18 years and older who have obesity,24.2
North Dakota,Percent of adults aged 18 years and older who have obesity,34.2
Michigan,Percent of adults aged 18 years and older who have obesity,29.7
Nebraska,Percent of adults aged 18 years and older who have obesity,36.9
District of Columbia,Percent of adults aged 18 years and older who have obesity,39.5
Arkansas,Percent of adults aged 18 years and older who have obesity,40.3
National,Percent of adults aged 18 years and older who have obesity,24.7
Wisconsin,Percent of adults aged 18 years and older who have obesity,31.2
North Dakota,Percent of adults aged 18 years and older who have obesity,34.3
Mississippi,Percent of adults aged 18 years and older who have obesity,46.1
Maine,Percent of adults aged 18 years and older who have obesity,33.3
South Carolina,Percent of adults aged 18 years and older who have obesity,40.2
Hawaii,Percent of adults aged 18 years and older who have obesity,17.5
National,Percent of adults aged 18 years and older who have obesity,39.9
Nebraska,Percent of adults aged 18 years and older who have obesity,41.0
Massachusetts,Percent of adults aged 18 years and older who have obesity,24.3
Missouri,Percent of adults aged 18 years and older who have obesity,40.7
Utah,Percent of adults aged 18 years and older who have obesity,40.7
Colorado,Percent of adults aged 18 years and older who have obesity,25.5
Florida,Percent of adults aged 18 years and older who have obesity,31.9
Oregon,Percent of adults aged 18 years and older who have obesity,31.8
New York,Percent of adults aged 18 years and older who have obesity,22.1
National,Percent of adults aged 18 years and older who have obesity,30.6
Kansas,Percent of adults aged 18 years and older who have obesity,21.8
Michigan,Percent of adults aged 18 years and older who have obesity,34.9
Colorado,Percent of adults aged 18 years and older who have obesity,23.0
Tennessee,Percent of adults aged 18 years and older who have obesity,37.5
Washington,Percent of adults aged 18 years and older who have obesity,28.9
Kentucky,Percent of adults aged 18 years and older who have obesity,18.5
Louisiana,Percent of adults aged 18 years and older who have obesity,39.2
Hawaii,Percent of adults aged 18 years and older who have obesity,31.1
Florida,Percent of adults aged 18 years and older who have obesity,30.7
Oregon,Percent of adults aged 18 years and older who have obesity,26.9
Nevada,Percent of adults aged 18 years and older who have obesity,34.2
Mississippi,Percent of adults aged 18 years and older who have obesity,36.3
Colorado,Percent of adults aged 18 years and older who have obesity,21.3
Ohio,Percent of adults aged 18 years and older who have obesity,36.5
Guam,Percent of adults aged 18 years and older who have obesity,30.8
Indiana,Percent of adults aged 18 years and older who have obesity,22.6
Montana,Percent of adults aged 18 years and older who have obesity,33.6
Colorado,Percent of adults aged 18 years and older who have obesity,17.7
West Virginia,Percent of adults aged 18 years and older who have obesity,48.2
Tennessee,Percent of adults aged 18 years and older who have obesity,33.5
Georgia,Percent of adults aged 18 years and older who have obesity,28.7
South Dakota,Percent of adults aged 18 years and older who have obesity,29.6
South Carolina,Percent of adults aged 18 years and older who have obesity,27.7
Kansas,Percent of adults aged 18 years and older who have obesity,35.6
Nevada,Percent of adults aged 18 years and older who have obesity,20.2
Washington,Percent of adults aged 18 years and older who have obesity,36.8
Vermont,Percent of adults aged 18 years and older who have obesity,31.1
Minnesota,Percent of adults aged 18 years and older who have obesity,33.8
Mississippi,Percent of adults aged 18 years and older who have obesity,39.5
Ohio,Percent of adults aged 18 years and older who have obesity,43.3
Alabama,Percent of adults aged 18 years and older who have obesity,42.0
Georgia,Percent of adults aged 18 years and older who have obesity,29.7
Montana,Percent of adults aged 18 years and older who have obesity,25.8
Indiana,Percent of adults aged 18 years and older who have obesity,32.6
Vermont,Percent of adults aged 18 years and older who have obesity,20.4
Guam,Percent of adults aged 18 years and older who have obesity,26.3
Texas,Percent of adults aged 18 years and older who have obesity,29.2
New Jersey,Percent of adults aged 18 years and older who have obesity,31.1
Oklahoma,Percent of adults aged 18 years and older who have obesity,29.4
South Dakota,Percent of adults aged 18 years and older who have obesity,36.2
Virginia,Percent of adults aged 18 years and older who have obesity,35.9
District of Columbia,Percent of adults aged 18 years and older who have obesity,37.4
Mississippi,Percent of adults aged 18 years and older who have obesity,36.1
New Hampshire,Percent of adults aged 18 years and older who have obesity,39.0
Iowa,Percent of adults aged 18 years and older who have obesity,36.1
New Mexico,Percent of adults aged 18 years and older who have obesity,24.2
Illinois,Percent of adults aged 18 years and older who have obesity,30.9
Iowa,Percent of adults aged 18 years and older who have obesity,27.9
Vermont,Percent of adults aged 18 years and older who have obesity,30.5
Idaho,Percent of adults aged 18 years and older who have obesity,31.0
New Mexico,Percent of adults aged 18 years and older who have obesity,36.4
Kentucky,Percent of adults aged 18 years and older who have obesity,39.8
Illinois,Percent of adults aged 18 years and older who have obesity,25.1
Puerto Rico,Percent of adults aged 18 years and older who have obesity,25.4
Texas,Percent of adults aged 18 years and older who have obesity,41.0
California,Percent of adults aged 18 years and older who have obesity,28.5
New Jersey,Percent of adults aged 18 years and older who have obesity,26.0
Maine,Percent of adults aged 18 years and older who have obesity,36.1
Delaware,Percent of adults aged 18 years and older who have obesity,27.6
Utah,Percent of adults aged 18 years and older who have obesity,27.8
Nebraska,Percent of adults aged 18 years and older who have obesity,42.8
Hawaii,Percent of adults aged 18 years and older who have obesity,31.1
Rhode Island,Percent of adults aged 18 years and older who have obesity,30.7
Utah,Percent of adults aged 18 years and older who have obesity,40.9
Idaho,Percent of adults aged 18 years and older who have obesity,29.3
Idaho,Percent of adults aged 18 years and older who have obesity,24.8
Ohio,Percent of adults aged 18 years and older who have obesity,20.0
Alabama,Percent of adults aged 18 years and older who have obesity,36.2
Maine,Percent of adults aged 18 years and older who have obesity,30.3
Delaware,Percent of adults aged 18 years and older who have obesity,12.6
South Carolina,Percent of adults aged 18 years and older who have obesity,34.7
Arkansas,Percent of adults aged 18 years and older who have obesity,36.2
New Jersey,Percent of adults aged 18 years and older who have obesity,16.3
Kansas,Percent of adults aged 18 years and older who have obesity,37.1
Wyoming,Percent of adults aged 18 years and older who have obesity,33.9
National,Percent of adults aged 18 years and older who have obesity,11.5
Michigan,Percent of adults aged 18 years and older who have obesity,8.0
Rhode Island,Percent of adults aged 18 years and older who have obesity,23.7
Delaware,Percent of adults aged 18 years and older who have obesity,42.1
National,Percent of adults aged 18 years and older who have obesity,35.1
Kentucky,Percent of adults aged 18 years and older who have obesity,30.8
Utah,Percent of adults aged 18 years and older who have obesity,24.5
North Carolina,Percent of adults aged 18 years and older who have obesity,16.7
Maryland,Percent of adults aged 18 years and older who have obesity,41.8
